table_name,site,panel_id,output_column,before_value,after_value
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,운영최초전조마커,anom_subtype:degradation,runtime_trigger_only
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,사건해석상전조시작일,2025-01-29,
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,전조형이력_flag,1,0
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,급작고장이력_flag,0,1
runtime_final_verdict,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,급작고장이력_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,급작고장이력_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,급작고장이력_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,급작고장이력_flag,0,1
runtime_final_verdict,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,급작고장이력_flag,0,1
